id,school,nickname,abbreviation,home_url,arena,logo_url,conference_id
335,Gonzaga,Bulldogs,,http://www.espn.com/mens-college-basketball/team/_/id/2250/gonzaga-bulldogs,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png,31
336,Loyola Marymount,Lions,,http://www.espn.com/mens-college-basketball/team/_/id/2351/loyola-marymount-lions,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2351.png,31
337,Pacific,Tigers,,http://www.espn.com/mens-college-basketball/team/_/id/279/pacific-tigers,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/279.png,31
338,Pepperdine,Waves,,http://www.espn.com/mens-college-basketball/team/_/id/2492/pepperdine-waves,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2492.png,31
339,Portland,Pilots,,http://www.espn.com/mens-college-basketball/team/_/id/2501/portland-pilots,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2501.png,31
340,Saint Mary's,Gaels,,http://www.espn.com/mens-college-basketball/team/_/id/2608/saint-mary's-gaels,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2608.png,31
341,San Diego,Toreros,,http://www.espn.com/mens-college-basketball/team/_/id/301/san-diego-toreros,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/301.png,31
342,San Francisco,Dons,,http://www.espn.com/mens-college-basketball/team/_/id/2539/san-francisco-dons,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2539.png,31
343,Santa Clara,Broncos,,http://www.espn.com/mens-college-basketball/team/_/id/2541/santa-clara-broncos,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2541.png,31
344,Chicago St,Cougars,,http://www.espn.com/mens-college-basketball/team/_/id/2130/chicago-st-cougars,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2130.png,32
345,CSU Bakersfield,Roadrunners,,http://www.espn.com/mens-college-basketball/team/_/id/2934/csu-bakersfield-roadrunners,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2934.png,32
346,Grand Canyon,Antelopes,,http://www.espn.com/mens-college-basketball/team/_/id/2253/grand-canyon-antelopes,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2253.png,32
347,New Mexico St,Aggies,,http://www.espn.com/mens-college-basketball/team/_/id/166/new-mexico-st-aggies,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/166.png,32
348,Seattle,Redhawks,,http://www.espn.com/mens-college-basketball/team/_/id/2547/seattle-redhawks,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2547.png,32
349,UMKC,Kangaroos,,http://www.espn.com/mens-college-basketball/team/_/id/140/umkc-kangaroos,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/140.png,32
350,UT Rio Grande Valley,Vaqueros,,http://www.espn.com/mens-college-basketball/team/_/id/292/ut-rio-grande-valley-vaqueros,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/292.png,32
351,Utah Valley,Wolverines,,http://www.espn.com/mens-college-basketball/team/_/id/3084/utah-valley-wolverines,,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/3084.png,32
